,GROUP_NAME,PlusMinus
129,D. Saric - T. Craig - M. Bridges - L. Shamet - D. Ayton,-8.0
130,J. Poeltl - P. Siakam - O. Anunoby - G. Trent Jr. - S. Barnes,-1.6
131,K. Porzingis - D. Wright - D. Gafford - D. Avdija - C. Kispert,-1.0
132,P. George - M. Morris Sr. - R. Jackson - I. Zubac - L. Kennard,3.0
133,P. Mills - M. Morris - E. Sumner - D. Sharpe - K. Edwards,2.0
134,T. McConnell - B. Hield - G. York - O. Brissett - I. Jackson,20.0
135,A. Horford - M. Smart - J. Brown - J. Tatum - D. White,2.9
136,B. Adebayo - D. Robinson - H. Highsmith - M. Strus - T. Herro,0.0
137,B. Biyombo - D. Saric - T. Craig - M. Bridges - D. Washington Jr.,-6.5
138,B. Bogdanovic - R. McGruder - J. Wiseman - K. Hayes - J. Ivey,-12.0
139,D. Lillard - A. Simons - D. Eubanks - C. Reddish - M. Thybulle,-4.0
140,K. Love - V. Oladipo - B. Adebayo - G. Vincent - T. Herro,-4.0
141,R. McGruder - M. Bagley III - J. Wiseman - K. Hayes - I. Livers,6.0
142,B. Griffin - M. Muscala - M. Smart - J. Brown - D. White,4.0
143,D. DeRozan - N. Vucevic - Z. LaVine - P. Williams - A. Dosunmu,0.0
144,I. Todd - C. Kispert - J. Goodwin - J. Davis - X. Cooks,4.0
145,N. Noel - K. Knox II - K. Hayes - S. Bey - J. Ivey,-13.0
146,S. Gilgeous-Alexander - L. Dort - A. Pokusevski - J. Giddey - A. Wiggins,-4.5
147,Z. Williams - D. Roddy - V. Williams Jr. - K. Lofton Jr. - J. Gilyard,0.0
148,K. Caldwell-Pope - A. Gordon - J. Murray - T. Bryant - M. Porter Jr.,-12.0
149,P. Tucker - J. Harden - T. Harris - J. Embiid - T. Maxey,3.0
150,R. Westbrook - N. Batum - P. George - K. Leonard - N. Powell,-4.0
151,S. Curry - K. Thompson - D. Green - A. Wiggins - K. Looney,5.4
152,J. Butler - B. Adebayo - M. Strus - T. Herro - N. Jovic,10.0
153,K. Lowry - J. Butler - B. Adebayo - C. Martin - T. Herro,1.0
